Order_Month,revenue
2022-01,52911.5
2022-02,43325.5
2022-03,40996.0
2022-04,40442.0
2022-05,40347.5
2022-06,42576.0
2022-07,44471.5
2022-08,41333.5
2022-09,46113.5
2022-10,38355.0
2022-11,41256.5
2022-12,38201.0
2023-01,48052.5
2023-02,39214.5
2023-03,38534.5
2023-04,38905.5
2023-05,40480.5
2023-06,42474.0
2023-07,45632.5
2023-08,38592.0
2023-09,41069.0
2023-10,38322.0
2023-11,37014.0
2023-12,43021.0
2024-01,47908.5
2024-02,37145.0
2024-03,42861.5
2024-04,46271.0
2024-05,43766.5
2024-06,44721.0
2024-07,41405.0
2024-08,43362.0
2024-09,42161.5
2024-10,42736.5
2024-11,44076.0
2024-12,48466.5
2025-01,25548.5
